question,ground_truth_answer,expected_passage
What are the symptoms of tuberculosis?,Common symptoms include productive cough haemoptysis fever night sweats weight loss and fatigue.,Common symptoms of pulmonary TB include productive cough haemoptysis loss of appetite unintentional weight loss fever night sweats and fatigue.
How is tuberculosis transmitted?,TB is spread through the air when a person with active TB coughs and releases bacteria.,TB is spread when people who are sick with TB expel bacteria into the air for example by coughing.
Which part of the body is most commonly affected by TB?,The lungs are most commonly affected although TB can affect other parts of the body.,TB typically affects the lungs pulmonary TB but can also affect other sites extrapulmonary TB.
Who is more likely to develop TB disease?,About 90 percent of TB cases are adults with more men affected than women.,Of the total number of people who develop TB about 90 percent are adults with more cases among men than women.
What are the major risk factors for TB?,Major risk factors include HIV undernutrition diabetes smoking and alcohol use.,The risk of developing TB disease is much higher among people living with HIV and among people affected by risk factors such as undernutrition diabetes smoking and alcohol consumption.
Why are people with HIV at high risk of TB?,Their weakened immune system makes them more likely to progress from infection to disease.,The risk of TB disease is much higher among people living with HIV.
What tests can diagnose pulmonary TB?,Tests include chest X ray sputum smear microscopy mycobacterial culture and rapid molecular tests.,Diagnostic tests include several rapid molecular tests recommended by WHO as the initial diagnostic test for TB.
Is Xpert Ultra more sensitive than Xpert MTB RIF?,Yes it has a lower limit of detection and is more sensitive.,The Xpert Ultra has a lower limit of detection and is more sensitive than the Xpert MTB RIF assay.
What is the role of chest X ray in TB diagnosis?,It is a sensitive imaging tool that helps detect pulmonary TB lesions early.,Chest X ray remains the most sensitive tool available for diagnosing and managing pulmonary TB.
What treatment regimens prevent TB infection?,Preventive options include 3HP 3HR 1HP 4R and 6H.,WHO recommends several TB preventive treatment options including 3HR 3HP 1HP and 6H regimens.
How is latent TB infection diagnosed?,Through tuberculin skin test TST or interferon gamma release assay IGRA.,Latent TB infection is diagnosed using TST or IGRA after ruling out active TB.
Is TB a notifiable disease?,Yes all TB cases must be reported to health authorities.,TB cases must be notified to the District Health Office within seven days.
How long is standard TB treatment?,Six months consisting of two months of intensive therapy followed by four months continuation.,Standard TB treatment lasts six months two months of HRZE and four months of HR.
